Subject,group,target,prediction,probability
EE32,MAIN,2,1,0.10088411341672725
GB06,MAIN,2,2,0.5721721347231993
GH90,MAIN,2,2,0.5358152243207803
GI26,MAIN,1,1,0.317780000674773
GI29,MAIN,2,1,0.30443364584525867
GI36,MAIN,2,2,0.5687266341294429
GI46,MAIN,2,2,0.5722122882081035
GM22,MAIN,2,2,0.6798450694898492
HF57,MAIN,2,2,0.623812357057945
HP40,MAIN,2,2,0.5786002153609735
IA21,MAIN,1,2,0.6660747824893167
IA36,MAIN,1,1,0.3872222044587273
IN66,MAIN,2,2,0.6338110032770649
JC25,MAIN,1,1,0.4555563282257492
JE99,MAIN,1,1,0.4668162285806303
EE71,MAIN,1,1,0.24681599362881618
GC03,MAIN,1,1,0.4302820890284747
GH35,MAIN,2,2,0.6382177893514176
GJ04,MAIN,1,2,0.5099151337014222
GK91,MAIN,1,1,0.11363479121267608
GM41,MAIN,1,1,0.4438954755415082
GM62,MAIN,1,1,0.15930801204089254
GN03,MAIN,1,1,0.23626577949458138
HE88,MAIN,1,1,0.30127626857744366
HV65,MAIN,1,1,0.22627846631272144
IC95,MAIN,1,1,0.4260911609206277
IJ26,MAIN,2,1,0.377186954840088
IV92,MAIN,2,2,0.5387192582350874
JB44,MAIN,1,2,0.5010905097793196
JC12,MAIN,1,1,0.4379478456461698
JC52,MAIN,1,1,0.39917099331681766
JF94,MAIN,2,2,0.550097682356469
